wavelength_nm,angle=0|pol=p|R,angle=0|pol=s|R,angle=30|pol=p|R,angle=30|pol=s|R,angle=45|pol=p|R,angle=45|pol=s|R
503.5,0.0017007732046466113,0.0017007732046466113,0.0029645124868977915,0.00830732334753617,0.0008193542853259895,0.025750438013152518
503.75,0.0017675198205211267,0.0017675198205211267,0.0029576623336628454,0.008381310026692623,0.0007855338891354731,0.025689453897156097
504.0,0.0018355180491007037,0.0018355180491007037,0.0029513062258979777,0.008454896773199053,0.0007532979327242801,0.02562657717058096
504.25,0.0019047589415905981,0.0019047589415905981,0.0029454411905189657,0.008528066666623221,0.0007226371293604911,0.02556182252361059
504.5,0.0019752331318887224,0.0019752331318887224,0.0029400641628181236,0.008600802991800128,0.0006935420224340136,0.02549520495937401
504.75,0.002046930844453653,0.002046930844453653,0.002935171989389687,0.008673089242518361,0.0006660029888130752,0.025426739788999217
505.0,0.002119841902259811,0.002119841902259811,0.00293076143102296,0.008744909125069231,0.0006400102421884874,0.025356442626657785
505.25,0.0021939557348342946,0.0021939557348342946,0.0029268291655622867,0.008816246561659717,0.0006155538364037225,0.02528432938460034
505.5,0.0022692613863679045,0.0022692613863679045,0.002923371790733617,0.008887085693690044,0.0005926236687714451,0.025210416268183076
505.75,0.002345747523894626,0.002345747523894626,0.0029203858269370516,0.008957410884897854,0.0005712094833755043,0.02513471977088915
506.0,0.0024234024455344334,0.0024234024455344334,0.0029178677200048437,0.009027206724370431,0.000551300874357487,0.025057256669339112
506.25,0.002502214088791128,0.002502214088791128,0.0029158138439252168,0.009096458029426012,0.0005328872891885814,0.024978044018302264
506.5,0.002582170038901869,0.002582170038901869,0.0029142205035304104,0.009165149848365825,0.0005159580319248917,0.024897099145697515
506.75,0.0026632575372306806,0.0026632575372306806,0.0029130839371505272,0.00923326746309741,0.0005005022664469978,0.024814439647594437
507.0,0.0027454634897013633,0.0027454634897013633,0.002912400319229791,0.009300796391632742,0.00048650901968235605,0.024730083383208843
507.25,0.00282877447526423,0.00282877447526423,0.0029121657629091737,0.009367722390461311,0.0004739671848109354,0.024644048469897078
507.5,0.002913176754390252,0.002913176754390252,0.0029123763225708922,0.009434031456798556,0.0004628655244530149,0.024556353278148833
507.75,0.0029986562775889676,0.0029986562775889676,0.002913027996347513,0.009499709830714053,0.00045319267383923007,0.024467016426579214
